table,purpose,route,join_fields,treatment,priority,caveat
authors,在选定期刊论文中发表过的作者资料,sources > works > works_authorships > authors,sources.id=works.primary_source_id; works.id=works_authorships.work_id; works_authorships.author_id=authors.id,可选汇总：不同作者数或作者列表；须先约定时间窗，尚未执行,optional,会议未指定作者指标；不能将authors.works_count等作者全局履历相加为该刊统计。
authors_concepts,作者整体概念分布,sources > works > works_authorships > authors > authors_concepts,sources.id=works.primary_source_id; works.id=works_authorships.work_id; works_authorships.author_id=authors.id; authors.id=authors_concepts.author_id,可选字典列表：仅描述相关作者，尚未执行,optional,score为STRING；作者整体概念不等于这位作者在该刊论文的主题。 作者分析为建议，尚非会议已确定的交付指标。
authors_counts_by_year,作者整体年度统计,sources > works > works_authorships > authors > authors_counts_by_year,sources.id=works.primary_source_id; works.id=works_authorships.work_id; works_authorships.author_id=authors.id; authors.id=authors_counts_by_year.author_id,可选参考列表：不用于直接计算单刊年度发文量,optional,同一作者跨多刊发表；相加会混入其他期刊并重复计数。 作者分析为建议，尚非会议已确定的交付指标。
authors_display_name_alternatives,作者其他署名,sources > works > works_authorships > authors > authors_display_name_alternatives,sources.id=works.primary_source_id; works.id=works_authorships.work_id; works_authorships.author_id=authors.id; authors.id=authors_display_name_alternatives.author_id,可选字典：保留名称列表，尚未执行,optional,重名与姓名变化不能替代author_id匹配。 作者分析为建议，尚非会议已确定的交付指标。
authors_ids,作者跨平台编号,sources > works > works_authorships > authors > authors_ids,sources.id=works.primary_source_id; works.id=works_authorships.work_id; works_authorships.author_id=authors.id; authors.id=authors_ids.openalex,待验证：确认openalex与authors.id含义、唯一性及覆盖率后补入,optional,本表没有author_id；openalex为INTEGER候选键，不可把mag编号当OpenAlex编号。 作者分析为建议，尚非会议已确定的交付指标。
concepts,解释旧概念分类的名称和层级,sources > sources_concepts > concepts,sources.id=sources_concepts.source_id; sources_concepts.concept_id=concepts.id,参考字典：须先有经验证的期刊或论文概念关系，尚未连接,reference,sources_concepts为空；可另经works_concepts或authors_concepts到达，但二者描述的对象不同；concepts与topics不是同一分类。
concepts_ancestors,概念祖先层级,sources > sources_concepts > concepts > concepts_ancestors,sources.id=sources_concepts.source_id; sources_concepts.concept_id=concepts.id; concepts.id=concepts_ancestors.concept_id; concepts_ancestors.concept_ancestor_id=concepts.id,待数据补回后作为分类参考字典或列表,blocked,保存快照为空；末端concepts需使用祖先实体别名；祖先关系不代表新的独立期刊主题。
concepts_counts_by_year,概念整体年度统计,sources > sources_concepts > concepts > concepts_counts_by_year,sources.id=sources_concepts.source_id; sources_concepts.concept_id=concepts.id; concepts.id=concepts_counts_by_year.concept_id,待数据补回后作为分类参考字典或列表,blocked,保存快照为空；全库某概念发文量不能当成该刊的对应发文量。
concepts_related_concepts,概念间相关关系,sources > sources_concepts > concepts > concepts_related_concepts,sources.id=sources_concepts.source_id; sources_concepts.concept_id=concepts.id; concepts.id=concepts_related_concepts.concept_id; concepts_related_concepts.related_concept_id=concepts.id,待数据补回后作为分类参考字典或列表,blocked,保存快照为空；末端concepts需使用相关实体别名；不能把相关概念自动分配给每本期刊。
domains,主题所属的大领域,sources > works > topics > domains,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.domain=domains.id,建议：由已验证主要主题映射领域并汇总论文数，尚未执行,next,先查domain键匹配及层级一致性；domains.works_count是全库该领域统计，不是期刊数值。
